id_dossier;montant_reglement;date_reglement;type_reglement
4750521;50;2018-02-19;CB
4750524;13.28;2018-08-28;VIRT
4750526;66.4;2018-04-27;VIRT
4750531;265.6;2018-07-27;VIRT
4750570;99.6;2018-09-27;VIRT
4750575;50;2018-01-06;CB
4750590;50;2018-03-30;CB
4750591;1429.97;2018-03-26;CB
4750594;33.2;2018-08-28;VIRT
4750605;150.01;2018-01-09;CB
4750651;33.2;2018-10-29;VIRT
4750657;25;2019-03-27;CB
4750661;66.79;2019-06-12;VIRT
4750682;10.68;2019-04-30;VIRT
4750690;19.92;2018-11-28;VIRT
4750695;33.2;2018-06-27;VIRT
4750705;100;2018-01-04;CB
4750708;30;2018-02-15;CB
4750712;67.2;2019-01-31;VIRT
4750716;127.92;2019-07-04;VIRT
4750718;100;2018-04-20;CB
4750720;66.4;2018-10-29;VIRT
4750722;74.57;2019-07-01;VIRT
4750731;50;2019-06-06;PRLVT
4750736;40;2019-03-08;CB
4750741;132.8;2018-08-28;VIRT
4750752;50;2019-03-07;CB
4750763;100;2018-01-30;CB
4750764;24.6;2017-12-29;"REGT CLIENT"
4750766;250;2018-05-04;CHQ
4750776;13.28;2018-08-28;VIRT
4750777;20;2019-05-23;CB
4750806;30;2018-01-16;CB
4750810;30;2018-03-06;CB
4750815;26.56;2018-11-28;VIRT
4750821;13.28;2018-08-28;VIRT
4750827;53.12;2018-07-27;VIRT
4750842;66.4;2018-10-29;VIRT
4750854;27.47;2019-07-16;VIRT
4750859;66.4;2018-08-28;VIRT
4750860;199.2;2018-11-28;VIRT
4750890;26.56;2018-04-27;VIRT
4750902;500;2018-03-01;CB
4750907;70;2018-02-06;CB
4750928;72.4;2019-07-04;VIRT
4750938;50;2018-03-01;CB
4750941;33.2;2018-04-27;VIRT
4750946;199.2;2019-04-29;VIRT
4750949;86.32;2018-09-27;VIRT
4750963;6.64;2018-06-27;VIRT
4750964;464.8;2019-02-27;VIRT
4750973;33.2;2018-08-28;VIRT
4750975;50;2018-01-28;PRLVT
4750976;40.32;2019-01-31;VIRT
4750978;96.49;2019-07-12;VIRT
4750985;249;2018-10-29;VIRT
4750988;80;2018-02-12;CB
4750989;150;2018-01-16;CB
4750999;199.2;2018-09-27;VIRT
4751003;39.84;2018-08-28;VIRT
4751017;84.05;2019-06-07;VIRT
4751023;50;2018-01-04;CB
4751026;332;2018-12-28;VIRT
4751030;50;2018-03-07;VIRT
4751041;50;2019-05-02;CB
4751064;30;2018-02-21;CB
4751069;100;2018-01-03;CB
4751085;33.2;2018-07-27;VIRT
4751086;132.8;2018-08-28;VIRT
4751091;100;2018-03-14;CHQ
4751098;56.44;2018-10-29;VIRT
4751099;99.6;2018-07-27;VIRT
4751140;20;2018-03-01;CB
4751144;33.2;2018-11-28;VIRT
4751156;66.4;2018-07-27;VIRT
4751157;60;2018-02-20;VIRT
4751161;1593.6;2018-07-27;VIRT
4751177;33.2;2018-10-29;VIRT
4751186;13.28;2018-10-29;VIRT
4751190;1426.87;2018-10-29;VIRT
4751206;426.26;2019-06-06;VIRT
4751226;72.38;2018-08-28;VIRT
4751229;144.11;2019-07-11;VIRT
4751250;50;2018-03-02;CB
4751259;47.06;2019-06-12;VIRT
4751296;26.56;2018-10-29;VIRT
4751304;265.6;2018-06-27;VIRT
4751308;1199.73;2018-01-10;VIRT
4751314;66.4;2018-08-28;VIRT
4751322;99.6;2018-07-27;VIRT
4751348;20;2018-04-04;CB
4751351;26.56;2018-07-27;VIRT
4751360;132.8;2018-10-29;VIRT
4751362;332;2018-10-29;VIRT
4751368;50;2018-03-07;CB
4751372;9;2018-04-11;CB
4751417;66.4;2018-08-28;VIRT
4751439;82;2017-12-29;"REGT CLIENT"
4751441;10;2018-02-15;CB
4751452;33.2;2018-11-28;VIRT
4751454;86.88;2019-06-06;VIRT
4751465;33.2;2018-09-27;VIRT
4751473;132.49;2019-07-16;VIRT
4751481;50;2019-05-31;VIRT
4751483;100;2018-03-14;VIRT
4751490;150;2018-01-10;VIRT
4751495;40.56;2017-12-29;"REGT CLIENT"
4751520;33.2;2018-06-27;VIRT
4751544;72.4;2019-06-27;VIRT
4751563;166;2018-08-28;VIRT
4751569;144.8;2019-06-25;VIRT
4751578;20;2018-02-06;CB
4751579;20;2018-02-06;CB
4751591;94.84;2019-07-17;VIRT
4751599;3.36;2019-01-31;VIRT
4751621;26.56;2018-11-28;VIRT
4751632;35;2018-02-15;VIRT
4751633;70;2018-01-15;VIRT
4751664;289.6;2019-07-04;VIRT
4751667;741;2019-05-22;VIRT
4751688;33.2;2018-08-28;VIRT
4751689;33.2;2018-08-28;VIRT
4751716;80;2017-12-29;"REGT CLIENT"
4751729;40;2018-03-01;CB
4751736;100;2018-01-08;CB
4751738;100;2018-02-20;VIRT
4751742;826.71;2017-12-29;"REGT CLIENT"
4751766;39.84;2019-02-27;VIRT
4751770;30;2019-04-05;CB
4751790;33.2;2018-06-27;VIRT
4751792;50;2018-01-08;CB
4751811;171.82;2017-12-29;"REGT CLIENT"
4751849;100;2018-03-30;CB
4751858;115;2018-01-28;PRLVT
4751879;39.84;2018-05-29;VIRT
4751898;2172;2019-05-31;VIRT
4751919;50;2019-05-17;CB
4751928;16.6;2018-08-28;VIRT
4751929;36.2;2019-07-03;VIRT
4751934;10;2018-01-22;CB
4751940;48.44;2018-07-27;VIRT
4751942;150;2017-12-29;"REGT CLIENT"
